#upper limit 	 trapezoidal 	 simpsons 	 guass_quadrature 
4.295559 	 10.755939 	 10.755966 	 10.756782 
4.305559 	 10.797703 	 10.797727 	 10.798549 
4.315559 	 10.839309 	 10.839337 	 10.840167 
4.325560 	 10.880776 	 10.880803 	 10.881632 
4.335560 	 10.922085 	 10.922114 	 10.922940 
4.345560 	 10.963220 	 10.963263 	 10.964090 
4.355560 	 11.004210 	 11.004241 	 11.005074 
4.365561 	 11.045019 	 11.045053 	 11.045888 
4.375561 	 11.085652 	 11.085690 	 11.086527 
4.385561 	 11.126113 	 11.126141 	 11.126989 
4.395561 	 11.166391 	 11.166431 	 11.167268 
4.405561 	 11.206478 	 11.206507 	 11.207356 
4.415562 	 11.246359 	 11.246394 	 11.247251 
4.425562 	 11.286058 	 11.286097 	 11.286945 
4.435562 	 11.325548 	 11.325578 	 11.326438 
4.445562 	 11.364826 	 11.364857 	 11.365722 
4.455563 	 11.403893 	 11.403931 	 11.404789 
4.465563 	 11.442729 	 11.442764 	 11.443638 
4.475563 	 11.481350 	 11.481383 	 11.482259 
4.485563 	 11.519733 	 11.519776 	 11.520651 
4.495564 	 11.557889 	 11.557922 	 11.558802 
4.505564 	 11.595791 	 11.595819 	 11.596708 
4.515564 	 11.633444 	 11.633476 	 11.634366 
4.525564 	 11.670835 	 11.670874 	 11.671766 
4.535564 	 11.707979 	 11.708014 	 11.708903 
4.545565 	 11.744833 	 11.744873 	 11.745770 
4.555565 	 11.781423 	 11.781467 	 11.782359 
4.565565 	 11.817727 	 11.817760 	 11.818667 
4.575565 	 11.853733 	 11.853765 	 11.854680 
4.585566 	 11.889435 	 11.889482 	 11.890394 
4.595566 	 11.924850 	 11.924883 	 11.925798 
4.605566 	 11.959933 	 11.959971 	 11.960891 
4.615566 	 11.994697 	 11.994729 	 11.995659 
4.625566 	 12.029121 	 12.029166 	 12.030095 
4.635567 	 12.063222 	 12.063260 	 12.064191 
4.645567 	 12.096954 	 12.096992 	 12.097933 
4.655567 	 12.130337 	 12.130376 	 12.131315 
4.665567 	 12.163340 	 12.163380 	 12.164331 
4.675568 	 12.195970 	 12.196011 	 12.196965 
4.685568 	 12.228202 	 12.228245 	 12.229207 
4.695568 	 12.260035 	 12.260081 	 12.261049 
4.705568 	 12.291468 	 12.291498 	 12.292478 
4.715569 	 12.322448 	 12.322491 	 12.323479 
4.725569 	 12.353008 	 12.353054 	 12.354043 
4.735569 	 12.383111 	 12.383149 	 12.384155 
4.745569 	 12.412755 	 12.412791 	 12.413804 
4.755569 	 12.441910 	 12.441957 	 12.442972 
4.765570 	 12.470564 	 12.470612 	 12.471646 
4.775570 	 12.498709 	 12.498761 	 12.499806 
4.785570 	 12.526332 	 12.526377 	 12.527444 
4.795570 	 12.553395 	 12.553443 	 12.554533 
4.805571 	 12.579906 	 12.579945 	 12.581057 
4.815571 	 12.605817 	 12.605869 	 12.606997 
4.825571 	 12.631114 	 12.631167 	 12.632327 
4.835571 	 12.655769 	 12.655826 	 12.657027 
4.845572 	 12.679775 	 12.679832 	 12.681075 
4.855572 	 12.703085 	 12.703137 	 12.704441 
4.865572 	 12.725679 	 12.725735 	 12.727097 
4.875572 	 12.747532 	 12.747582 	 12.749009 
4.885572 	 12.768573 	 12.768628 	 12.770144 
4.895573 	 12.788782 	 12.788838 	 12.790465 
4.905573 	 12.808097 	 12.808148 	 12.809931 
4.915573 	 12.826472 	 12.826538 	 12.828493 
4.925573 	 12.843855 	 12.843917 	 12.846098 
4.935574 	 12.860152 	 12.860219 	 12.862688 
4.945574 	 12.875281 	 12.875350 	 12.878200 
4.955574 	 12.889112 	 12.889184 	 12.892551 
4.965574 	 12.901509 	 12.901580 	 12.905659 
4.975574 	 12.912224 	 12.912322 	 12.917406 
4.985575 	 12.920949 	 12.921055 	 12.927673 
4.995575 	 12.926944 	 12.927095 	 12.936302 
